clause_id,variant_book,similarity,base_text,variant_text,notable_differences
SHL_SONGBEN_0118,傷寒雜病論_桂本,0.9,火逆下之，因燒針煩躁者，桂枝甘草龍骨牡蠣湯主之。,"7.91
火逆，下之，因燒針煩燥者，桂枝甘草龍骨牡蠣湯主之。","宋本獨有用字：躁；傷寒雜病論_桂本獨有用字：
.179燥"
SHL_SONGBEN_0120,傷寒雜病論_桂本,0.881,太陽病，當惡寒發熱，今自汗出，反不惡寒發熱，關上脈細數者，以醫吐之過也。一二日吐之者，腹中飢，口不能食；三四日吐之者，不喜糜粥，欲食冷食，朝食暮吐，以醫吐之所致,"7.93
太陽病，當惡寒發熱，今自汗出，反不惡寒發熱，關上脈細數者，以醫吐之過也。一二日吐之者，腹中飢，口不能食；三四日吐之者，不喜糜粥，欲食冷食，朝食暮吐，此","傷寒雜病論_桂本獨有用字：
.379內又煩皆若衣近"
SHL_SONGBEN_0122,傷寒雜病論_桂本,0.933,病人脈數，數為熱，當消穀引食，而反吐者，此以發汗，令陽氣微，膈氣虛，脈乃數也。數為客熱，不能消穀，以胃中虛冷，故吐也。,"7.94
病人脈數，數為熱，當消穀。今引食而反吐者，此以發汗，令陽氣微、膈氣虛，脈乃數也。數為客熱，故不能消穀，以胃中虛冷，故吐也。","傷寒雜病論_桂本獨有用字：
.479、今"
SHL_SONGBEN_0123,傷寒雜病論_桂本,0.808,太陽病，過經十餘日，心下溫溫欲吐，而胸中痛，大便反溏，腹微滿，鬱鬱微煩，先此時自極吐下者，與調胃承氣湯。若不爾者，不可與。但欲嘔，胸中痛，微溏者，此非柴胡湯證，,"7.95
太陽病，過經十餘日，心中溫溫欲吐，胸中痛，大便反溏，腹微滿，鬱鬱微煩。先其時自極吐下者，與調胃承氣湯；若不爾者，不可與之。若但欲嘔，胸中痛，微溏者，此","宋本獨有用字：而；傷寒雜病論_桂本獨有用字：
.579上之其卷所方然見（）；"
SHL_SONGBEN_0125,傷寒雜病論_桂本,0.96,太陽病，身黃，脈沉結，少腹鞕，小便不利者，為無血也。小便自利，其人如狂者，血證諦也，抵當湯主之。,"7.97
太陽病，身黃，脈沉結，少腹鞕，小便不利者，為無血也；小便自利，其人如狂者，血證諦也，抵當湯主之。（方見前）","傷寒雜病論_桂本獨有用字：
.79前方見（）；"
SHL_SONGBEN_0126,傷寒雜病論_桂本,0.9,傷寒有熱，少腹滿，應小便不利，今反利者，為有血也，當下之，不可餘藥，宜抵當丸。,"7.98
傷寒，有熱，少腹滿，應小便不利，今反利者，為有血也，當下之，可不餘藥，宜抵當丸。","傷寒雜病論_桂本獨有用字：
.789"
SHL_SONGBEN_0130,傷寒雜病論_桂本,0.655,藏結無陽證，不往來寒熱，其人反靜，舌上胎滑者，不可攻也。,"8.7
臟結，無陽證，不往來寒熱，其人反靜，舌上苔滑者，不可攻也；飲食如故，時時下利，舌上白苔滑者，為難治。","宋本獨有用字：胎藏；傷寒雜病論_桂本獨有用字：
.78下利如故時治為白臟苔難食飲；"
SHL_SONGBEN_0134,傷寒雜病論_桂本,0.961,太陽病，脈浮而動數，浮則為風，數則為熱，動則為痛，數則為虛。頭痛發熱，微盜汗出，而反惡寒者，表未解也，醫反下之，動數變遲，膈內拒痛，胃中空虛，客氣動膈，短氣躁煩,"8.12
太陽病，脈浮而動數，浮則為風，數則為熱，動則為痛，頭痛發熱，微盜汗出，而反惡寒者，表未解也。醫反下之，動數變遲，膈內拒痛，胃中空虛，客氣動膈，短氣，躁","傷寒雜病論_桂本獨有用字：
.128五散苓"
SHL_SONGBEN_0135,傷寒雜病論_桂本,0.821,傷寒六七日，結胸熱實，脈沉而緊，心下痛，按之石鞕者，大陷胸湯主之。,"8.13
傷寒六七日，結胸熱實，脈沉緊而實，心下痛，按之石鞕者，大陷胸湯主之。（方見前）","傷寒雜病論_桂本獨有用字：
.138前方見（）"
SHL_SONGBEN_0136,傷寒雜病論_桂本,0.658,傷寒十餘日，熱結在裏，復往來寒熱者，與大柴胡湯；但結胸，無大熱者，此為水結在胸脇也，但頭微汗出者，大陷胸湯主之。,"8.15
但結胸無大熱者，此為水結在胸肋也，但頭微汗出者，大陷胸湯主之。（方見前）","宋本獨有用字：來傷十寒往復日柴胡脇與裏餘；；傷寒雜病論_桂本獨有用字：
.158前方肋見（）"
SHL_SONGBEN_0137,傷寒雜病論_桂本,0.969,太陽病，重發汗而復下之，不大便五六日，舌上燥而渴，日晡所小有潮熱，從心下至少腹鞕滿而痛，不可近者，大陷胸湯主之。,"8.16
太陽病，重發汗，而復下之，不大便五六日，舌上燥而渴，日晡所小有潮熱，從心下至少腹鞕滿而痛，不可近者，大陷胸湯主之。（方見前）","傷寒雜病論_桂本獨有用字：
.168前方見（）"
SHL_SONGBEN_0139,傷寒雜病論_桂本,0.945,太陽病，二三日，不能臥，但欲起，心下必結，脈微弱者，此本有寒分也。反下之，若利止，必作結胸；未止者，四日復下之，此作協熱利也。,"8.18
太陽病，二三日，不能臥，但欲起，心下必結。脈微弱者，此本有寒分也，反下之，若利止，必作結胸。未止者，此作協熱利也。","宋本獨有用字：四復；；傷寒雜病論_桂本獨有用字：
.18"
SHL_SONGBEN_0141,傷寒雜病論_桂本,0.959,病在陽，應以汗解之，反以冷水潠之，若灌之，其熱被劫，不得去，彌更益煩，肉上粟起，意欲飲水，反不渴者，服文蛤散；若不差者，與五苓散。寒實結胸，無熱證者，與三物小陷,"8.20
病在陽，應以汗解之，反以冷水潠之，若灌之，其熱被劫不得去，彌更益煩，肉上粟起，意欲飲水，反不渴者，服文蛤散；若不差者，與五苓散。寒實結胸，無熱證者，與","傷寒雜病論_桂本獨有用字：
.028俱前方見（）"
